"Series Description","Nominal Broad Dollar Index ","Nominal Major Currencies Dollar Index ","Nominal Other Important Trading Partners Dollar Index ","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","BRAZIL -- SPOT EXCHANGE RATE, REAIS/US$ ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ ","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","Malaysia - Spot Exchange Rate, Ringgit/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE -- THAILAND ","VENEZUELA -- SPOT EXCHANGE RATE, BOLIVARES/US$ "
"Unit:","Index:_1997_Jan_100","Index:_1973_Mar_100","Index:_1997_Jan_100","Currency:_Per_AUD","Currency:_Per_EUR","Currency:_Per_NZD","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","1","1","1","0.01","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/JRXWTFB_N.M","H10/H10/JRXWTFN_N.M","H10/H10/JRXWTFO_N.M","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","JRXWTFB_N.M","JRXWTFN_N.M","JRXWTFO_N.M","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2008-12,108.4923,80.8798,137.7413,0.6719,1.3511,0.5597,1.4854,2.3954,1.2337,6.8539,5.5239,7.7504,48.5132,91.2750,1361.5727,3.5483,13.4167,7.0159,8.0124,9.9227,1.4769,111.4464,1.1404,33.1555,35.0086,2.1446
2009-01,109.1685,81.3412,138.7275,0.6754,1.3244,0.5510,1.4462,2.3079,1.2248,6.8360,5.6284,7.7563,48.6995,90.1205,1354.3975,3.5705,13.8839,6.9566,8.1044,9.9076,1.4913,113.7685,1.1267,33.3695,34.8710,2.1446
2009-02,111.8557,83.4857,141.9286,0.6504,1.2797,0.5160,1.4422,2.3230,1.2452,6.8363,5.8226,7.7534,49.2484,92.9158,1439.5842,3.6345,14.6066,6.8710,8.5455,9.9773,1.5178,114.1026,1.1639,34.2389,35.3089,2.1446
2009-03,112.3416,84.0116,142.3068,0.6666,1.3050,0.5336,1.4170,2.3161,1.2645,6.8360,5.7137,7.7530,51.1291,97.8550,1449.6159,3.6726,14.6466,6.7855,8.5727,9.9536,1.5296,114.2836,1.1555,34.3041,35.7368,2.1446
2009-04,109.5535,82.4696,137.9788,0.7158,1.3199,0.5729,1.4712,2.2027,1.2242,6.8306,5.6437,7.7501,49.9655,98.9200,1332.1250,3.6053,13.4035,6.6557,8.2297,8.9644,1.5028,117.3068,1.1481,33.6009,35.4036,2.1446
