,mean,variance
RXI$US_N.M.AL,0.15982111926320539,7.157200714610048
RXI$US_N.M.EU,-0.22620699326050073,4.831412908608376
RXI$US_N.M.NZ,0.27390923296370934,7.606962432056087
RXI$US_N.M.UK,-0.1701713286489822,4.417219832888611
RXI_N.M.BZ,-0.20516029132511632,12.384645566312203
RXI_N.M.CA,-0.06532862085500744,3.412301865987425
RXI_N.M.CH,-0.0031864764089656367,0.34350063491904825
RXI_N.M.DN,-0.22229684726881874,4.785479834807313
RXI_N.M.HK,-0.0016018193456274093,0.00787218057054555
RXI_N.M.IN,-0.3042622045871572,3.6106176376537937
RXI_N.M.JA,-0.19909924686789265,5.447929289877089
RXI_N.M.KO,0.1967608218399929,4.962387778065442
RXI_N.M.MA,-0.20925617888734593,3.766095333787805
RXI_N.M.MX,-0.35795974849339623,6.880394108151411
RXI_N.M.NO,-0.15937113280844561,5.6180062718186
RXI_N.M.SD,-0.09158324520614954,6.222337811459921
RXI_N.M.SF,-0.22891598920933506,9.979707298174588
RXI_N.M.SI,0.05330004765439378,1.5803641368822414
RXI_N.M.SL,-0.30124806268530646,1.20196033845563
RXI_N.M.SZ,0.15174517200929988,5.842652495981657
RXI_N.M.TA,0.07780329068412949,1.2702662334415988
RXI_N.M.TH,0.0074229313008082,1.5637806988010596
RXI_N.M.VE,-1.3245551844586663,34.11613554400202
